genres,movie_title,original_language,popularity,production_countries,release_date,spoken_languages,vote_average,vote_count,year_released
"[""Documentary""]",Song of Lahore,en,3.266,"[""United States of America""]",2015-11-13,"[""English"",""ਪੰਜਾਬੀ"",""اردو""]",6.6,7.0,2015.0
"[""Drama"",""Romance""]",Things to Come,zh,0.6,"[""China""]",2019-10-31,"[""普通话""]",0.0,0.0,2019.0
"[""Documentary""]",Strong Island,en,5.228,"[""United States of America""]",2017-01-23,"[""English""]",6.3,73.0,2017.0
"[""Documentary"",""History""]",Apollo 11,en,15.878,"[""United States of America""]",2019-03-01,"[""English""]",7.9,445.0,2019.0
"[""Science Fiction"",""Animation"",""Drama""]",Birdboy: The Forgotten Children,es,4.221,"[""Spain""]",2017-02-24,"[""Español""]",7.5,76.0,2015.0
"[""Thriller"",""Drama""]",Only the Animals,fr,7.163,"[""France"",""Germany""]",2019-12-04,"[""Français""]",6.6,140.0,2019.0
"[""Drama"",""Animation"",""Romance"",""War"",""History""]",In This Corner of the World,ja,35.615,"[""Japan""]",2016-11-12,"[""日本語""]",8.1,410.0,2016.0
"[""Science Fiction"",""Action"",""Adventure""]",Star Wars: The Last Jedi,en,53.115,"[""United States of America""]",2017-12-13,"[""English""]",6.9,12394.0,2017.0
"[""Drama""]",Pause,el,0.951,"[""Cyprus"",""Greece""]",2018-11-09,"[""English"",""ελληνικά""]",6.0,8.0,2018.0
"[""Music"",""Documentary""]",Gimme Danger,en,6.613,"[""United States of America""]",2016-10-28,"[""English""]",6.8,87.0,2016.0
"[""Drama"",""Music"",""History""]",Blaze,en,6.553,"[""United States of America""]",2018-08-17,"[""Español"",""English""]",6.2,37.0,2018.0
"[""Drama"",""Thriller""]",Stray,en,2.627,"[""United States of America""]",2015-01-26,"[""English""]",6.0,1.0,2015.0
"[""Documentary""]",The Settlers,en,0.769,"[""Israel""]",2016-01-22,"[""English"",""עִבְרִית"",""العربية""]",6.6,5.0,2016.0
"[""Documentary"",""History"",""Music""]",Fresh Dressed,en,2.954,"[""United States of America""]",2015-06-26,"[""English""]",6.3,25.0,2015.0
"[""Drama""]",Fourteen,en,5.609,"[""United States of America""]",2019-08-08,"[""English""]",6.1,14.0,2019.0
"[""Drama"",""Romance""]",Portrait of a Lady on Fire,fr,15.905,"[""France""]",2019-06-17,"[""Italiano"",""Français""]",8.3,1579.0,2019.0
"[""Documentary""]",Champions,fr,0.6,"[""Canada""]",2020-09-17,"[""English"",""Français""]",0.0,0.0,2020.0
"[""Drama""]",Queen of Katwe,en,12.695,"[""United States of America""]",2016-09-23,"[""English""]",7.3,340.0,2016.0
"[""Documentary""]",Three Identical Strangers,en,12.36,"[""United Kingdom""]",2018-06-29,"[""English"",""Français""]",7.4,486.0,2018.0
"[""Drama""]",Sami Blood,sv,5.747,"[""Denmark"",""Norway"",""Sweden""]",2016-09-12,"["""",""svenska""]",7.3,90.0,2016.0
"[""Drama""]",Holler,en,2.355,"[""United States of America""]",2021-06-11,"[""English""]",6.5,15.0,2020.0
"[""Documentary""]",Served Like a Girl,en,3.862,"[""United States of America""]",2017-11-08,"[""English""]",5.6,5.0,2017.0
"[""Family"",""Adventure"",""Drama"",""Fantasy""]",The Jungle Book,en,41.578,"[""United Kingdom"",""United States of America""]",2016-04-07,"[""English""]",6.9,6855.0,2016.0
"[""Drama""]",The Guardians,fr,4.95,"[""France""]",2017-12-06,"[""English"",""Français""]",6.1,83.0,2017.0
"[""War"",""Drama""]",The Last Full Measure,en,11.194,"[""United States of America""]",2020-01-23,"[""English""]",7.6,310.0,2019.0
"[""Documentary""]",Burden,en,2.936,"[""United States of America""]",2016-04-16,"[""English""]",6.1,9.0,2016.0
"[""Romance"",""Comedy"",""Drama""]",Elephants,en,1.018,"[""United States of America""]",2018-12-07,"[""English""]",6.5,2.0,2018.0
"[""Action"",""Comedy""]",Surge of Power: Revenge of the Sequel,en,0.632,"[""United States of America""]",2018-01-19,"[""English""]",2.0,1.0,2018.0
"[""Fantasy"",""Science Fiction"",""Comedy""]",Sorry to Bother You,en,14.65,"[""United States of America""]",2018-07-06,"[""English""]",6.8,1034.0,2018.0
"[""Crime"",""Drama"",""Thriller"",""Action""]",El Camino: A Breaking Bad Movie,en,25.399,"[""United States of America""]",2019-10-11,"[""English""]",6.9,3492.0,2019.0
"[""Documentary""]",Recorder: The Marion Stokes Project,en,2.925,"[""United States of America""]",2019-04-25,"[""English""]",6.8,5.0,2019.0
"[""Romance"",""Drama""]",Call Me by Your Name,en,115.446,"[""France"",""Italy"",""United States of America""]",2017-09-01,"[""Français"",""English"",""Italiano""]",8.3,9605.0,2017.0
"[""Science Fiction""]",The Invisible Man,en,2.186,"[""United States of America""]",2017-12-12,"[""English""]",5.0,3.0,2017.0
"[""Documentary""]",Step,en,3.415,"[""United States of America""]",2017-07-28,"[""English""]",7.7,14.0,2017.0
"[""Documentary""]",Knock Down the House,en,8.192,"[""United States of America""]",2019-01-27,"[""English""]",7.4,129.0,2019.0
"[""Drama"",""Mystery"",""Thriller""]",Queen of Earth,en,6.08,"[""Greece"",""United States of America""]",2015-02-07,"[""English""]",6.1,115.0,2015.0
"[""Drama"",""War""]",Atlantis,uk,1.977,"[""Ukraine""]",2020-09-17,"[""Український"",""English""]",5.9,15.0,2019.0
"[""Drama""]",Made in Bangladesh,bn,1.554,"[""Bangladesh"",""Denmark"",""France"",""Portugal""]",2019-11-28,"[""বাংলা""]",6.0,10.0,2019.0
"[""Thriller"",""Horror"",""Family"",""Mystery""]",Daughter,cn,1.771,"[""Hong Kong""]",2015-11-19,"[""广州话 / 廣州話""]",7.3,3.0,2015.0
"[""Documentary"",""Drama""]",Just Don't Think I'll Scream,fr,2.456,"[""France""]",2019-09-25,"[""Français""]",7.2,28.0,2019.0
