title,audienceScore,tomatoMeter,releaseDateTheaters,genre,originalLanguage
The Sunshine Makers,74.0,100.0,2017-01-20,Documentary,English (United Kingdom)
Val,99.0,80.0,2021-10-01,"Horror, Comedy",English
All That Breathes,84.0,99.0,2022-10-21,Documentary,Hindi
The Donut King,93.0,97.0,2020-10-30,Documentary,English
Sword Art Online the Movie -Progressive- Aria of a Starless Night,95.0,80.0,2021-12-03,"Action, Adventure, Anime",Japanese
Saint Omer,46.0,94.0,2023-01-13,Drama,French (France)
Alleluia! The Devil's Carnival,83.0,100.0,2015-08-11,"Musical, Fantasy",English
The Man Standing Next,100.0,84.0,2020-01-31,Drama,Korean
Ip Man 4: The Finale,95.0,85.0,2019-12-25,Action,Chinese
Huesera: The Bone Woman,68.0,99.0,2023-02-10,"Horror, Mystery & thriller",Spanish
Manchester by the Sea,78.0,96.0,2016-12-16,Drama,English
VooDoo,96.0,30.0,2017-02-24,Horror,English
Oklahoma City,88.0,97.0,2017-02-03,Documentary,English
All Things Must Pass,82.0,94.0,2015-10-16,Documentary,English
Kailash,95.0,80.0,2018-11-02,Documentary,English
"J.R. ""Bob"" Dobbs & The Church of the SubGenius",36.0,100.0,2020-10-16,"Documentary, Comedy",English
Bar Bahar,77.0,98.0,2017-11-10,Drama,Hebrew
President,83.0,91.0,2021-12-17,Documentary,English
Back Roads,98.0,53.0,2018-12-07,"Mystery & thriller, Drama",English
Marriage Story,85.0,95.0,2019-11-06,Drama,English
The Florida Project,80.0,96.0,2017-10-06,Drama,English
The Monkey King 2,52.0,100.0,2016-02-05,"Fantasy, Adventure, Action",Chinese
This Much I Know To Be True,96.0,100.0,2022-05-11,"Documentary, Music",English (United Kingdom)
Searching for Ingmar Bergman,78.0,92.0,2018-11-02,Documentary,German
Los Reyes,67.0,100.0,2019-08-14,Documentary,Spanish
Torn,88.0,100.0,2021-12-03,"Documentary, Sports & fitness",English
The Mindfulness Movement,100.0,50.0,2020-04-10,Documentary,English
Blaze,66.0,95.0,2018-08-17,"Biography, Drama, Music",English
Number 37,74.0,94.0,2018-11-02,Mystery & thriller,Afrikaans
Fighting With My Family,86.0,93.0,2019-02-22,"Comedy, Drama, Biography",English
Top Gun: Maverick,99.0,96.0,2022-05-27,"Action, Adventure",English
The Mole Agent,84.0,95.0,2020-01-25,Documentary,Spanish
Rafiki,71.0,94.0,2019-04-19,"Drama, Romance, Lgbtq+",English
Newton,81.0,94.0,2017-09-22,"Comedy, Drama",Hindi
Amy,87.0,95.0,2015-07-03,"Documentary, Biography, Music",English
Tantura,100.0,93.0,2022-12-02,Documentary,Hebrew
Chhichhore,91.0,58.0,2019-09-06,Comedy,Hindi
Summertime,74.0,92.0,2016-07-22,"Romance, Drama, Lgbtq+",French (France)
Sharkwater Extinction,91.0,100.0,2019-03-01,Documentary,English
Sgt. Stubby: An American Hero,92.0,89.0,2018-04-13,"Kids & family, Adventure, War, Animation",English
Bacurau,84.0,93.0,2020-03-06,"Mystery & thriller, Drama, Fantasy",Portuguese (Brazil)
Last Film Show,86.0,93.0,2022-12-02,Drama,Gujarati
The Pink Cloud,38.0,93.0,2022-01-14,"Drama, Sci-fi",Portuguese (Brazil)
Young Plato,100.0,100.0,2022-09-23,Documentary,English
One Cut of the Dead,87.0,100.0,2019-09-13,"Comedy, Horror",Japanese
Memory: The Origins of Alien,92.0,81.0,2019-10-04,Documentary,English
BlacKkKlansman,83.0,96.0,2018-08-10,"Comedy, Drama, Crime",English
The Territory,81.0,97.0,2022-08-19,Documentary,Portuguese (Brazil)
We the Animals,75.0,92.0,2018-08-17,"Drama, Lgbtq+",English
Those Who Remained,67.0,100.0,2020-02-14,Drama,Hungarian
Who Will Write Our History,91.0,94.0,2019-01-18,Documentary,English
Richard Linklater: Dream Is Destiny,58.0,94.0,2016-08-05,Documentary,English
Extra Ordinary,77.0,98.0,2020-03-06,"Comedy, Fantasy",English (United Kingdom)
The Aeronauts,95.0,72.0,2019-12-06,"Adventure, Drama",English
Mission: Impossible Rogue Nation,87.0,94.0,2015-07-31,"Action, Adventure, Mystery & thriller",English
The Icarus Line Must Die,71.0,100.0,2018-06-20,"Drama, Music",English
Kékszakállú,60.0,93.0,2017-07-21,Drama,Spanish
Being Evel,83.0,98.0,2015-08-21,"Documentary, Biography",English
Babylon,45.0,100.0,2019-03-08,Drama,English
The Shape of Water,72.0,92.0,2017-12-22,"Fantasy, Romance",English
Araby,82.0,93.0,2018-06-08,Drama,Portuguese (Brazil)
Take My Nose... Please!,100.0,92.0,2017-03-04,Documentary,English
Apollo 11,90.0,99.0,2019-03-08,"Documentary, History, Drama",English
Golden Arm,85.0,100.0,2021-04-30,Comedy,English
Puss in Boots: The Last Wish,94.0,95.0,2022-12-21,"Kids & family, Comedy, Adventure, Animation",English
Citizen Jane: Battle for the City,69.0,95.0,2017-04-21,Documentary,English
The Jesus Music,97.0,63.0,2021-10-01,"Documentary, Music",English
Bone Tomahawk,74.0,91.0,2015-10-23,"Western, Action, Horror, Comedy",English
Emily the Criminal,79.0,94.0,2022-08-12,"Crime, Drama, Mystery & thriller",English
Salt in My Soul,94.0,100.0,2022-01-21,"Documentary, Biography",English
The Price of Everything,94.0,93.0,2018-10-19,Documentary,English
Gosnell,96.0,60.0,2018-10-12,"Crime, Drama",English
Words on Bathroom Walls,94.0,89.0,2020-08-21,"Romance, Drama",English
Every Time I Die,58.0,100.0,2019-08-09,"Mystery & thriller, Horror",English
Memoria,47.0,100.0,2016-05-06,"Drama, Biography",English
Clara,91.0,54.0,2019-05-03,"Sci-fi, Drama",English
The Velvet Queen,77.0,100.0,2021-12-22,Documentary,French (France)
Of Fathers and Sons,75.0,96.0,2018-11-16,Documentary,Arabic
Batman: Return of the Caped Crusaders,67.0,94.0,2016-10-10,"Action, Adventure, Animation",English
Beasts Clawing at Straws,83.0,95.0,2020-10-21,"Mystery & thriller, Crime, Drama",Korean
Birds of Passage,85.0,96.0,2019-02-13,"Crime, Drama",Spanish
The Treasure,40.0,95.0,2016-01-08,Comedy,Romanian
Blue Bayou,93.0,75.0,2021-09-17,Drama,English
Lost Illusions,89.0,93.0,2022-06-10,"Drama, History",French (France)
"Acasa, My Home",83.0,100.0,2021-01-15,Documentary,Romanian
Parallel Mothers,78.0,96.0,2021-12-24,Drama,Spanish (Spain)
Chained for Life,54.0,100.0,2019-09-11,Drama,English
Palio,84.0,95.0,2015-11-06,"Documentary, Drama",Italian
12 Days,67.0,95.0,2018-03-16,Documentary,French (France)
Restless Creature: Wendy Whelan,71.0,100.0,2017-05-24,"Documentary, Music",English
Identifying Features,85.0,99.0,2021-01-22,Drama,Spanish
The Macaluso Sisters,71.0,100.0,2021-08-06,Drama,Italian
Fatima,96.0,57.0,2020-08-28,"History, Drama",English
Sing 2,98.0,72.0,2021-12-22,"Kids & family, Musical, Comedy, Animation",English
Shadow,80.0,94.0,2019-05-03,"Action, Adventure",Chinese
Paul Taylor: Creative Domain,100.0,67.0,2015-09-11,"Documentary, Biography",English
Mrs. Harris Goes to Paris,93.0,94.0,2022-07-15,"Comedy, Drama",English
Jinn,80.0,91.0,2018-11-15,Drama,English
In Front of Your Face,80.0,94.0,2022-05-06,Drama,Korean
I Carry You With Me,82.0,97.0,2021-06-25,"Drama, Romance, Lgbtq+",Spanish
Slash,58.0,92.0,2016-12-09,"Comedy, Drama",English
#Female Pleasure,100.0,94.0,2019-10-18,Documentary,English
Sand Storm,79.0,93.0,2016-09-28,Drama,Arabic
(T)ERROR,75.0,91.0,2015-10-07,Documentary,English
The Death of Stalin,79.0,94.0,2018-03-09,Comedy,English
Bill Nye: Science Guy,71.0,100.0,2017-10-27,Documentary,English
I'm Your Man,81.0,96.0,2021-09-24,"Romance, Comedy, Sci-fi",German
Bad Match,43.0,100.0,2017-11-03,Mystery & thriller,English
Bad Day for the Cut,73.0,92.0,2017-10-20,Mystery & thriller,English (United Kingdom)
Phoenix,78.0,98.0,2015-07-24,"History, Drama",German
Fire of Love,83.0,98.0,2022-07-06,"Documentary, Biography",French (Canada)
Revenge,58.0,93.0,2018-05-11,Mystery & thriller,English
All This Panic,68.0,94.0,2017-03-31,Documentary,English
Shirkers,79.0,99.0,2018-10-26,Documentary,English
A Man of Integrity,75.0,100.0,2022-06-17,Drama,Persian
The Long Walk,83.0,94.0,2022-02-18,"Sci-fi, Mystery & thriller",Lao
Tetris,91.0,79.0,2023-03-24,"Mystery & thriller, Biography, Drama",English
The Roundup,100.0,96.0,2022-05-20,"Crime, Drama, Action",Korean
Badlapur,65.0,92.0,2015-02-20,"Crime, Drama, Mystery & thriller, Action",Hindi
National Bird,60.0,100.0,2016-11-11,Documentary,English
2022 Oscar Nominated Shorts - Animation,29.0,100.0,2022-02-25,Animation,English
"Nico, 1988",60.0,93.0,2018-08-01,"Biography, History, Drama, Music",English
A Stray,75.0,100.0,2016-10-21,Drama,English
Under the Shadow,73.0,99.0,2016-10-07,"Horror, Mystery & thriller",Persian
"Aliens, Clowns & Geeks",86.0,100.0,2021-01-30,"Comedy, Sci-fi",English
Maze,46.0,92.0,2019-03-22,"Mystery & thriller, Drama",English (United Kingdom)
Loudmouth,100.0,67.0,2022-12-09,"Documentary, Biography",English
Unrest,93.0,100.0,2017-09-22,Documentary,English
Redeeming Love,95.0,11.0,2022-01-21,"Romance, History, Drama",English
Alanis,59.0,100.0,2018-11-30,Drama,Spanish
On Sacred Ground,100.0,33.0,2023-01-13,Drama,English
Cop Secret,91.0,84.0,2022-07-08,"Action, Comedy, Crime",Icelandic
Krisha,77.0,95.0,2016-03-18,"Holiday, Drama",English
Love & Friendship,60.0,96.0,2016-05-27,Comedy,English
Miss Hokusai,70.0,93.0,2016-10-14,"Biography, History, Drama, Anime",Japanese
5B,97.0,100.0,2019-06-14,Documentary,English
Loveless,83.0,95.0,2018-02-16,Drama,Russian
Burning,80.0,95.0,2018-10-26,"Mystery & thriller, Drama",Korean
American Factory,81.0,95.0,2019-08-21,Documentary,English
The Duke,85.0,97.0,2022-04-22,"Comedy, Drama",English (United Kingdom)
Rapid Response,100.0,67.0,2019-09-06,Documentary,English
Ex Machina,86.0,92.0,2015-04-24,"Sci-fi, Mystery & thriller, Drama",English
Miss Kiet's Children,80.0,100.0,2017-12-13,Documentary,Dutch
The Cakemaker,81.0,97.0,2018-06-29,"Drama, Lgbtq+",English
David Crosby: Remember My Name,87.0,93.0,2019-07-19,"Documentary, Music",English
Taylor Swift: Miss Americana,91.0,92.0,2020-01-31,"Documentary, Music",English
Dinner in America,86.0,91.0,2022-05-27,"Comedy, Drama",English
Fortune Favors Lady Nikuko,80.0,91.0,2022-06-03,"Comedy, Drama, Anime",Japanese
Nitram,76.0,93.0,2022-03-30,"Mystery & thriller, Crime, Drama",English (Australia)
Charlotte Has Fun,87.0,100.0,2019-03-29,Comedy,French (Canada)
By the Grace of God,73.0,96.0,2019-10-18,Drama,French (France)
Tickling Giants,91.0,100.0,2017-03-15,Documentary,English
The Penny Black,100.0,100.0,2021-05-21,Documentary,English
Boys State,90.0,95.0,2020-07-31,Documentary,English
Hearts Beat Loud,74.0,92.0,2018-06-08,"Comedy, Drama, Music",English
Klaus,96.0,95.0,2019-11-08,"Kids & family, Holiday, Comedy, Adventure, Animation",English
Saint-Narcisse,41.0,96.0,2021-09-17,"Drama, Romance, Comedy",English
Angels Wear White,76.0,94.0,2018-05-04,Drama,Chinese
The Banshees of Inisherin,75.0,96.0,2022-11-04,Comedy,English
Miss Sharon Jones!,88.0,91.0,2016-07-29,"Documentary, Music",English
Let It Fall: Los Angeles 1982-1992,89.0,100.0,2017-04-21,Documentary,English
Mustang,88.0,97.0,2015-11-20,Drama,Turkish
A Good Person,96.0,55.0,2023-03-24,Drama,English
The Farewell,87.0,97.0,2019-08-02,"Comedy, Drama",English
Sicilian Ghost Story,66.0,91.0,2018-11-30,"Fantasy, Romance",Italian
Navalny,88.0,98.0,2022-04-11,Documentary,Russian
A Love Song,71.0,95.0,2022-07-29,"Drama, Romance",English
And Then We Danced,95.0,94.0,2020-02-07,"Drama, Romance, Lgbtq+",Georgian
Southside With You,71.0,91.0,2016-08-26,"Romance, Biography, Drama",English
"Love, Simon",88.0,92.0,2018-03-16,"Romance, Comedy, Drama, Lgbtq+",English
Straight Up,69.0,93.0,2020-02-28,"Romance, Comedy",English
Stars Fell Again,100.0,40.0,2023-02-03,"Holiday, Romance, Comedy",English
Star Wars: The Last Jedi,42.0,91.0,2017-12-15,"Sci-fi, Adventure, Action, Fantasy",English
Dream Horse,97.0,88.0,2021-05-21,"Comedy, Drama",English
Recorder: The Marion Stokes Project,60.0,95.0,2019-11-15,Documentary,English
The Breadwinner,88.0,95.0,2017-11-17,"Drama, Animation",English
A Man Called Otto,97.0,69.0,2023-01-13,"Comedy, Drama",English
Sidemen: Long Road to Glory,100.0,100.0,2017-08-18,"Documentary, Music",English
The Summit of the Gods,90.0,100.0,2021-11-24,"Adventure, Drama, Animation",French (France)
No Greater Love,94.0,100.0,2017-11-10,Documentary,English
Black Souls,70.0,91.0,2015-04-10,"Crime, Drama",Italian
Queen Mimi,74.0,91.0,2016-05-13,Documentary,English
A Hero,83.0,97.0,2022-01-07,Drama,Persian
Pig,84.0,97.0,2021-07-16,"Drama, Mystery & thriller",English
The Wandering Earth II,97.0,79.0,2023-01-22,"Sci-fi, Action, Adventure",Chinese
Uncut Gems,52.0,91.0,2019-12-25,"Mystery & thriller, Comedy",English
Echoes of Violence,78.0,100.0,2021-08-24,"Mystery & thriller, Crime, Drama",English
My True Fairytale,99.0,60.0,2021-04-09,"Drama, Mystery & thriller",English
Bisbee '17,60.0,93.0,2018-09-05,Documentary,English
Two Lottery Tickets,67.0,92.0,2021-05-21,Comedy,Romanian
Elle,73.0,91.0,2016-11-11,"Mystery & thriller, Drama",French (France)
Sea of Shadows,100.0,94.0,2019-07-12,"Documentary, Crime, Drama, History",English
Giant Little Ones,84.0,94.0,2019-03-01,Drama,English
The Sparks Brothers,98.0,96.0,2021-06-18,"Documentary, Music",English
Weathering With You,96.0,92.0,2020-01-15,"Drama, Fantasy, Anime",Japanese
Avatar: The Way of Water,92.0,76.0,2022-12-16,"Sci-fi, Adventure, Action, Fantasy",English
The Love Witch,61.0,95.0,2016-11-11,"Horror, Comedy, Drama",English
Wolfwalkers,98.0,99.0,2020-11-13,"Fantasy, Adventure, Animation",English
The Wonders,67.0,96.0,2015-10-30,Drama,Italian
Gift,89.0,100.0,2019-10-11,Documentary,English
Seymour: An Introduction,79.0,100.0,2015-03-13,Documentary,English
Ocean Boy,100.0,56.0,2023-02-03,Drama,English (Australia)
A Chiara,58.0,91.0,2022-05-27,Drama,Italian
"Lyle, Lyle, Crocodile",93.0,72.0,2022-10-07,"Kids & family, Musical, Comedy, Animation",English
Rapture,85.0,96.0,2021-10-01,Drama,Spanish (Spain)
Get Out,86.0,98.0,2017-02-24,"Horror, Mystery & thriller, Comedy",English
Demain,89.0,93.0,2017-04-14,Documentary,English
A Gray State,58.0,100.0,2017-11-03,Documentary,English
4 Days in France,45.0,91.0,2017-08-04,"Comedy, Drama, Romance, Lgbtq+",French (France)
Alcarràs,68.0,92.0,2023-01-06,Drama,Catalan
A Cops and Robbers Story,100.0,71.0,2022-01-14,"Documentary, Biography",English
Zappa,80.0,96.0,2020-11-23,"Documentary, Music, Biography",English
Boiling Point,85.0,99.0,2021-11-19,"Drama, Mystery & thriller",English
Collective,90.0,99.0,2020-11-20,Documentary,Romanian
Hooligan Sparrow,75.0,97.0,2016-07-22,"Documentary, Crime, Drama",Chinese
The Handmaiden,91.0,96.0,2016-10-21,"Mystery & thriller, Drama, Romance",Korean
Three Identical Strangers,88.0,96.0,2018-06-29,"Documentary, Biography, Drama, History, Mystery & thriller",English
Sprinter,92.0,73.0,2019-04-24,Drama,English
The Cat Rescuers,100.0,92.0,2019-07-05,Documentary,English
Prevenge,53.0,91.0,2017-03-24,"Comedy, Drama, Fantasy, Horror, Mystery & thriller",English (United Kingdom)
Love & Taxes,50.0,100.0,2017-03-03,Comedy,English
Echoes of the Empire: Beyond Genghis Khan,100.0,100.0,2022-06-03,"Documentary, History",English
The Irishman,86.0,95.0,2019-11-01,"Crime, Drama",English
Neither Wolf Nor Dog,94.0,82.0,2017-03-30,Drama,English
The Last Laugh,75.0,98.0,2017-03-03,Documentary,English
Longing,100.0,75.0,2018-10-17,Drama,Hebrew
63 Up,94.0,98.0,2019-11-27,Documentary,English (United Kingdom)
Benediction,65.0,93.0,2022-06-03,"Biography, History, Drama, War, Lgbtq+",English
The Dead Center,46.0,94.0,2019-10-11,Mystery & thriller,English
King Georges,56.0,100.0,2016-02-26,Documentary,English
I Am Not Your Negro,83.0,99.0,2017-02-03,Documentary,English
In Search of Greatness,87.0,92.0,2018-11-02,Documentary,English
Apples,72.0,93.0,2022-06-24,"Comedy, Drama",English
If Beale Street Could Talk,71.0,95.0,2019-01-11,"Crime, Drama, Romance",English
The B-Side: Elsa Dorfman's Portrait Photography,67.0,97.0,2017-06-30,Documentary,English
Frozen II,92.0,77.0,2019-11-22,"Kids & family, Musical, Comedy, Adventure, Animation",English
Champs,95.0,67.0,2015-03-13,"Documentary, Biography",English
Bombshell: The Hedy Lamarr Story,85.0,95.0,2017-11-24,Documentary,English
Tickled,86.0,94.0,2016-06-17,"Documentary, Mystery & thriller, Lgbtq+",English
Rose Plays Julie,42.0,95.0,2021-03-19,Drama,English (United Kingdom)
The Blind Man Who Did Not Want to See Titanic,89.0,92.0,2023-02-03,"Comedy, Drama, Mystery & thriller",Finnish
The Innocents,73.0,96.0,2022-05-13,"Horror, Mystery & thriller",Norwegian
The Salt of the Earth,90.0,95.0,2015-03-27,Documentary,Portuguese (Brazil)
Echo in the Canyon,92.0,90.0,2019-05-24,"Documentary, Music",English
93Queen,88.0,95.0,2018-01-01,Documentary,English
War for the Planet of the Apes,84.0,94.0,2017-07-14,"Sci-fi, Action, Adventure",English
Our Friend,95.0,85.0,2021-01-22,Drama,English
Chi-Town,88.0,100.0,2019-02-21,Documentary,English
This Changes Everything,100.0,88.0,2019-06-28,Documentary,English
Famous,88.0,100.0,2021-12-10,Drama,English
Queen & Slim,92.0,83.0,2019-11-27,"Crime, Drama, Romance",English
Saint Frances,75.0,99.0,2020-02-28,"Comedy, Drama",English
Mosul,99.0,83.0,2019-04-12,Documentary,English
Planet Earth: One Amazing Day,84.0,100.0,2017-10-06,Documentary,English
I Am Another You,84.0,95.0,2017-09-27,Documentary,English
The Inspection,91.0,90.0,2022-12-02,"Drama, Lgbtq+",English
Who We Are Now,70.0,96.0,2018-05-25,Drama,English
"Introducing, Selma Blair",80.0,100.0,2021-10-15,Documentary,English
King Cohen: The Wild World of Filmmaker Larry Cohen,84.0,100.0,2018-07-06,Documentary,English
Only the Brave,91.0,87.0,2017-10-20,"Drama, Adventure",English
Fire in the Mountains,100.0,88.0,2022-05-20,Drama,Hindi
When Two Worlds Collide,80.0,91.0,2016-08-17,Documentary,Spanish
Rosenwald,97.0,94.0,2015-08-14,Documentary,English
"Tick, Tick... Boom!",96.0,88.0,2021-11-12,"Musical, Drama, Biography",English
Herself,84.0,94.0,2020-12-30,Drama,English (United Kingdom)
"The Gangster, the Cop, the Devil",94.0,97.0,2019-06-07,"Action, Mystery & thriller, Crime, Drama",Korean
James White,70.0,92.0,2015-11-13,Drama,English
Too Late to Die Young,50.0,96.0,2019-05-31,Drama,Spanish
Jesus Revolution,99.0,62.0,2023-02-24,"Drama, History",English
The Never List,100.0,60.0,2020-12-11,Drama,English
We're All Going to the World's Fair,27.0,91.0,2022-04-15,"Horror, Drama",English
Prosecuting Evil: The Extraordinary World of Ben Ferencz,100.0,100.0,2019-02-22,Documentary,English
Gleason,90.0,96.0,2016-07-29,Documentary,English
Aquarius,78.0,97.0,2016-10-14,Drama,Portuguese (Brazil)
Miss Juneteenth,57.0,99.0,2020-06-19,Drama,English
King Otto,100.0,81.0,2022-03-25,Documentary,Greek
"Riotsville, USA",53.0,91.0,2022-09-16,"Documentary, History",English
Great Freedom,91.0,97.0,2022-03-04,Drama,German
Citizen Ashe,88.0,97.0,2021-12-03,"Documentary, Biography",English
National Parks Adventure,52.0,100.0,2016-02-12,Documentary,English
Pinball: The Man Who Saved the Game,98.0,92.0,2023-03-17,"Comedy, Drama",English
Violet Evergarden,100.0,80.0,2020-02-17,"Drama, Anime",Japanese
Sicario,85.0,92.0,2015-10-02,"Mystery & thriller, Crime, Drama",English
Te Ata,95.0,65.0,2017-09-29,"Biography, History, Drama",English
Ryuichi Sakamoto: Coda,84.0,98.0,2018-07-06,"Documentary, Music",Japanese
Aftersun,81.0,96.0,2022-10-21,Drama,English (United Kingdom)
Old Stone,67.0,94.0,2016-11-30,"Mystery & thriller, Drama",Chinese
Last Men in Aleppo,75.0,97.0,2017-05-03,"Documentary, War",Arabic
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",98.0,99.0,2021-07-02,"Documentary, Music",English
Hope,81.0,98.0,2021-04-16,"Drama, Romance",Norwegian
"Lo and Behold, Reveries of the Connected World",68.0,92.0,2016-08-19,Documentary,English
Fiddler's Journey to the Big Screen,100.0,100.0,2022-04-29,"Documentary, History",English
Fagara,69.0,100.0,2019-09-13,Drama,Chinese
Boston,71.0,100.0,2017-04-19,Documentary,English
Limbo,55.0,93.0,2021-04-30,"Comedy, Drama",English
Fight for Space,50.0,100.0,2017-05-19,Documentary,English
Women He's Undressed,80.0,91.0,2016-07-29,Documentary,English
Peter and the Farm,76.0,100.0,2016-11-04,Documentary,English
Eating Animals,75.0,91.0,2018-06-15,Documentary,English
Dream Big: Engineering Our World,64.0,100.0,2017-02-17,Documentary,English
Ali & Ava,68.0,94.0,2022-07-29,"Drama, Romance",English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",87.0,92.0,2017-11-17,Documentary,Kalaallisut
Varda by Agnès,86.0,98.0,2019-11-22,"Documentary, Biography",French (France)
They Shall Not Grow Old,91.0,99.0,2019-02-01,"Documentary, History, Drama, War",English (United Kingdom)
The Perfect Candidate,64.0,93.0,2021-05-14,Drama,Arabic
Tár,74.0,91.0,2022-10-28,"Drama, Music",English
Custody,84.0,96.0,2018-06-29,"Drama, Mystery & thriller",French (France)
Charming the Hearts of Men,94.0,80.0,2021-08-13,"Comedy, Drama",English
The Killing of Two Lovers,68.0,93.0,2021-05-14,Drama,English
Left on Purpose,100.0,89.0,2017-02-10,"Documentary, Biography, Drama",English
Night of the Kings,61.0,96.0,2021-02-26,Drama,French (France)
Barracuda,63.0,92.0,2017-10-06,"Mystery & thriller, Drama",English
Tyger Tyger,96.0,10.0,2021-02-26,Mystery & thriller,English
PG: Psycho Goreman,64.0,92.0,2021-01-22,"Horror, Comedy",English
After Love,89.0,93.0,2023-01-20,Drama,English
Princess Cyd,80.0,95.0,2017-11-03,"Drama, Romance, Lgbtq+",English
100 Years of Men in Love: The Accidental Collection,55.0,100.0,2022-03-23,"Documentary, History, Lgbtq+",English
Sonic the Hedgehog 2,96.0,69.0,2022-04-08,"Kids & family, Comedy, Adventure, Fantasy",English
The Power of the Dog,76.0,94.0,2021-11-17,"Western, Drama, Romance",English
Love and Monsters,89.0,94.0,2020-10-16,"Fantasy, Adventure, Comedy",English
Clash,82.0,93.0,2017-08-25,"Drama, Mystery & thriller",Arabic
Survivors Guide to Prison,71.0,100.0,2018-02-23,Documentary,English
Sword of Trust,63.0,94.0,2019-07-12,Comedy,English
Assassin 33 A.D.,100.0,67.0,2020-01-24,Sci-fi,English
Wildlike,77.0,93.0,2015-09-25,"Adventure, Drama",English
Julia,92.0,96.0,2021-11-12,Documentary,English
Angel Has Fallen,93.0,39.0,2019-08-23,"Action, Mystery & thriller",English
Fourteen,54.0,98.0,2020-05-15,Drama,English
Operator,60.0,100.0,2016-11-08,"Comedy, Drama",English
Surge of Power: Revenge of the Sequel,92.0,50.0,2018-01-05,"Comedy, Lgbtq+",English
Cinema Sabaya,83.0,92.0,2023-02-10,Drama,Hebrew
The Battle at Lake Changjin,100.0,36.0,2021-11-19,"War, Action, Drama",Chinese
Train to Busan,89.0,94.0,2016-07-22,"Horror, Mystery & thriller, Action",Korean
The Salesman,84.0,96.0,2017-01-27,Drama,Persian
The Mustang,74.0,95.0,2019-03-15,Drama,English
Intent to Destroy,93.0,92.0,2017-11-10,Documentary,English
The Domestics,49.0,100.0,2018-06-29,"Action, Mystery & thriller",English
Silicon Cowboys,74.0,100.0,2016-09-16,Documentary,English
Strike a Pose,70.0,95.0,2017-01-18,"Documentary, Music, Lgbtq+",English
The Elephant Queen,88.0,91.0,2019-10-18,"Documentary, Adventure, Comedy, Drama",English (United Kingdom)
My Life as a Zucchini,89.0,99.0,2017-02-24,"Comedy, Drama, Animation",French (France)
The Whale,91.0,64.0,2022-12-21,Drama,English
A Dog's Journey,91.0,51.0,2019-05-17,"Kids & family, Comedy, Drama, Fantasy, Adventure",English
They'll Love Me When I'm Dead,82.0,92.0,2018-11-02,Documentary,English
Paddington 2,88.0,99.0,2018-01-12,"Kids & family, Comedy, Adventure",English (United Kingdom)
The Bad Kids,81.0,100.0,2016-01-22,Documentary,English
The Dawn Wall,95.0,100.0,2018-09-14,Documentary,English
The Nice Guys,79.0,91.0,2016-05-20,"Action, Comedy, Mystery & thriller",English
Bethany Hamilton: Unstoppable,95.0,74.0,2019-07-12,Documentary,English
Where the Crawdads Sing,96.0,34.0,2022-07-15,"Drama, Mystery & thriller",English
The Woman Who Loves Giraffes,100.0,100.0,2019-10-04,Documentary,English
Hive,81.0,100.0,2021-11-05,Drama,Albanian
Hail Satan?,85.0,96.0,2019-04-17,Documentary,English
City of Ghosts,82.0,98.0,2017-07-07,"Documentary, War",English
Mississippi Grind,55.0,91.0,2015-09-25,Drama,English
Sunken Roads: Three Generations After D-Day,100.0,83.0,2020-12-18,Documentary,English
The Game Changers,99.0,70.0,2019-09-16,Documentary,English
The Hunting Ground,85.0,93.0,2015-02-27,Documentary,English
Jurassic Punk,68.0,100.0,2022-12-16,"Documentary, Biography",English
Old Henry,91.0,94.0,2021-10-01,"Western, Action",English
Oliver Sacks: His Own Life,88.0,100.0,2020-09-23,Documentary,English
Summer 1993,83.0,100.0,2018-05-25,Drama,Catalan
Window Horses,85.0,92.0,2017-09-22,"Comedy, Drama, Animation",English
The Beatles: Get Back - The Rooftop Concert,96.0,100.0,2022-01-30,"Documentary, Music",English
The Seven Faces of Jane,93.0,35.0,2023-01-13,Drama,English
Rock Rubber 45s,80.0,100.0,2018-06-28,Documentary,English
Eternal Spring,91.0,79.0,2022-10-14,"Documentary, Animation, History",Chinese
Nanpakal Nerathu Mayakkam,91.0,100.0,2023-01-19,Drama,Tamil
A Journal for Jordan,95.0,39.0,2021-12-25,"Drama, Romance",English
BPM (Beats Per Minute),84.0,99.0,2017-10-20,"Drama, Lgbtq+",French (France)
Eagles of Death Metal: Nos Amis (Our Friends),90.0,100.0,2017-02-10,"Documentary, Music",English
The Cage Fighter,46.0,94.0,2018-02-02,Documentary,English
Jim Gaffigan: Noble Ape,85.0,100.0,2018-07-13,Comedy,English
Foxtrot,77.0,94.0,2018-03-02,Drama,Hebrew
The Planters,75.0,95.0,2020-10-09,Comedy,English
Confetti,92.0,82.0,2021-08-20,Drama,English
Mass,90.0,95.0,2021-10-08,Drama,English
Betting on Zero,79.0,100.0,2017-03-10,Documentary,English
Thirteen Lives,94.0,86.0,2022-07-29,Drama,English
Beans,81.0,91.0,2021-11-05,Drama,English
Coming Home in the Dark,46.0,92.0,2021-10-01,"Horror, Mystery & thriller",English (Australia)
Free Guy,94.0,80.0,2021-08-13,"Action, Adventure, Comedy",English
The Pearl Button,82.0,94.0,2015-10-23,Documentary,Spanish
