title,audienceScore,tomatoMeter,releaseDateTheaters,genre,originalLanguage
Charm City,90.0,100.0,2018-10-12,Documentary,English
Those Who Walk Away,93.0,33.0,2022-02-11,"Horror, Mystery & thriller",English
My Tender Matador,75.0,100.0,2021-06-04,"Romance, Drama, Lgbtq+",Spanish
Columbus,80.0,96.0,2017-08-04,Drama,English
Appropriate Behavior,64.0,95.0,2015-01-16,"Comedy, Lgbtq+",English
Buried: The 1982 Alpine Meadows Avalanche,97.0,100.0,2022-01-14,Documentary,English
The 24 Hour War,86.0,100.0,2016-11-22,Documentary,English
Unplanned,94.0,42.0,2019-03-29,"Biography, Drama",English
When Marnie Was There,88.0,92.0,2015-05-22,"Kids & family, Drama, Fantasy, Mystery & thriller, Anime",Japanese
Court,79.0,98.0,2015-07-15,Drama,Marathi
Lost Holiday,91.0,42.0,2019-12-20,Comedy,English
Glass Onion: A Knives Out Mystery,92.0,92.0,2022-11-23,"Mystery & thriller, Comedy, Drama",English
The Eyes of Orson Welles,79.0,93.0,2019-03-15,"Documentary, Biography",English (United Kingdom)
Father Stu,95.0,41.0,2022-04-13,"Biography, Drama",English
LA 92,93.0,97.0,2017-04-28,Documentary,English
Nigerian Prince,67.0,100.0,2018-10-19,"Drama, Mystery & thriller",English
The Novelist's Film,67.0,100.0,2022-10-28,Drama,Korean
No Bears,90.0,100.0,2022-12-23,"Drama, Romance",Persian
The Work,86.0,100.0,2017-10-25,Documentary,English
No Ordinary Man,60.0,94.0,2021-07-16,"Documentary, Music",English
Don't Kill It,39.0,93.0,2017-03-03,"Horror, Fantasy, Action",English
Alita: Battle Angel,92.0,61.0,2019-02-14,"Sci-fi, Action, Adventure, Fantasy, Animation",English
Teacher,59.0,100.0,2019-08-02,Drama,English
Spotlight,93.0,97.0,2015-11-20,Drama,English
Hearing Is Believing,92.0,60.0,2017-06-16,"Documentary, Music",English
Spoiler Alert,97.0,85.0,2022-12-09,"Comedy, Drama, Romance, Lgbtq+",English
Hunt for the Wilderpeople,91.0,97.0,2016-06-24,"Comedy, Adventure",English (Australia)
A Tuba to Cuba,82.0,100.0,2019-02-15,"Documentary, Music",English
Mali Blues,100.0,89.0,2017-06-30,"Documentary, Music",French (France)
Facing Nolan,100.0,98.0,2022-05-24,"Documentary, Biography",English
Miss Stevens,70.0,91.0,2016-09-16,"Comedy, Drama",English
I Lost My Body,83.0,97.0,2019-11-15,"Fantasy, Drama, Animation",French (France)
The Girl Who Believes in Miracles,93.0,40.0,2021-04-02,Drama,English
The Confirmation,58.0,91.0,2016-03-18,"Comedy, Drama",English
Atlantis,62.0,97.0,2021-01-22,Drama,Ukrainian
Mr. Roosevelt,59.0,100.0,2017-10-27,Comedy,English
The Endless,67.0,92.0,2018-04-06,"Horror, Sci-fi, Mystery & thriller",English
"No Date, No Signature",95.0,91.0,2018-08-01,Drama,Persian
The Race to Alaska,100.0,100.0,2022-05-19,Documentary,English
Mickey and the Bear,75.0,100.0,2019-11-13,Drama,English
Presenting Princess Shaw,65.0,91.0,2016-05-27,Documentary,English
The Greatest Beer Run Ever,91.0,43.0,2022-09-30,"Comedy, Drama",English
Tumbbad,95.0,86.0,2018-10-12,"Horror, Fantasy",Hindi
From Nowhere,80.0,92.0,2017-02-17,Drama,English
King Richard,98.0,90.0,2021-11-19,"Biography, Drama",English
The Killing of Kenneth Chamberlain,85.0,97.0,2021-09-17,"Mystery & thriller, Drama",English
Fresh Dressed,55.0,91.0,2015-06-26,Documentary,English
A Band Called Impaled Rektum,85.0,94.0,2018-10-05,"Comedy, Music",Finnish
Arabian Nights: Volume 1 -- The Restless One,72.0,97.0,2015-12-04,Drama,Portuguese (Brazil)
Human Flow,81.0,91.0,2017-10-13,Documentary,English
Good Time,82.0,91.0,2017-08-25,"Mystery & thriller, Crime, Drama",English
Cold War,81.0,92.0,2018-12-21,"Romance, Drama",Polish
We Come as Friends,63.0,97.0,2015-08-14,Documentary,English
Journey's End,72.0,91.0,2018-03-16,"War, History, Drama",English (United Kingdom)
First Reformed,69.0,94.0,2018-05-18,"Mystery & thriller, Drama",English
Superpower Dogs,84.0,100.0,2019-03-15,Documentary,English (United Kingdom)
Jane,85.0,98.0,2017-10-20,Documentary,English
Baby Done,40.0,93.0,2021-01-22,Comedy,English
Toni Morrison: The Pieces I Am,96.0,97.0,2019-06-21,Documentary,English
Joy Ride,83.0,100.0,2021-10-29,"Comedy, Documentary",English
Good Night Oppy,100.0,87.0,2022-11-04,Documentary,English
5-25-77,88.0,100.0,2022-09-23,Comedy,English
Half the Picture,70.0,100.0,2018-06-08,Documentary,English
Brimstone & Glory,80.0,92.0,2017-10-27,Documentary,Spanish
The Last Man on the Moon,78.0,94.0,2016-02-26,"Documentary, Adventure, Biography",English (United Kingdom)
The Fight,71.0,99.0,2020-07-31,Documentary,English
Simchas and Sorrows,98.0,70.0,2022-09-16,"Comedy, Drama, Romance",English
Capernaum,93.0,90.0,2018-12-14,Drama,Arabic
Baden Baden,47.0,95.0,2016-11-25,"Comedy, Drama",French (France)
Just Don't Think I'll Scream,62.0,94.0,2020-02-19,"Documentary, Drama",French (France)
Toni Erdmann,73.0,93.0,2016-12-25,"Comedy, Drama",German
The Jungle Book,86.0,94.0,2016-04-15,"Kids & family, Adventure, Action, Fantasy",English
Baby Driver,86.0,92.0,2017-06-28,"Action, Mystery & thriller",English
Raw,76.0,93.0,2017-03-10,"Horror, Drama",French (France)
MVP,95.0,73.0,2022-09-14,Drama,English
Tigers Are Not Afraid,81.0,97.0,2019-08-23,"Fantasy, Mystery & thriller, Horror",Spanish
Abe & Phil's Last Poker Game,91.0,73.0,2018-01-12,"Comedy, Drama",English
Generational Sins,97.0,33.0,2017-10-06,Drama,English
The Civil Dead,75.0,100.0,2023-02-03,Comedy,English
For Ahkeem,65.0,96.0,2017-10-13,Documentary,English
