movie_id,title,releaseDate,genre,language
435,The Age of Shadows,2016-09-23,"Action, Mystery & thriller",Korean
436,Say Your Prayers,2021-04-02,Comedy,English
437,"I, Daniel Blake",2017-06-02,Drama,English
438,The Fabelmans,2022-11-23,Drama,English
439,Maiden,2019-06-28,Documentary,English
440,The Way I See It,2020-09-18,Documentary,English
441,Zootopia,2016-03-04,"Kids & family, Comedy, Adventure, Animation",English
442,Jay and Silent Bob Reboot,2019-10-15,Comedy,English
443,The World Before Your Feet,2018-11-21,Documentary,English
444,Hustle,2022-06-03,Drama,English
445,A Man Called Ove,2016-09-30,"Comedy, Drama",Swedish
446,Enter the Fat Dragon,2020-02-14,"Action, Comedy",Chinese
447,The Loneliest Boy in the World,2022-10-14,"Comedy, Horror",English
448,Lion,2016-12-21,"Drama, Biography",English
449,Elvis,2022-06-24,"Biography, Drama, Music",English
450,Penguin Highway,2019-04-12,"Adventure, Anime",Japanese
451,Val,2021-07-23,"Documentary, Biography",English
452,RRR,2022-03-25,"Action, Drama",Telugu
453,June Again,2022-01-07,"Comedy, Drama",English
454,Alive and Kicking,2017-04-07,"Documentary, Music",English
455,The Last Vermeer,2020-11-20,Drama,English
456,MLK/FBI,2021-01-15,Documentary,English
457,My Policeman,2022-10-21,"Romance, Drama, Lgbtq+",English
458,Two Step,2015-07-31,"Mystery & thriller, Crime, Drama",English
459,Blood on Her Name,2020-02-28,"Crime, Drama, Mystery & thriller",English
460,Saloum,2022-09-02,"Horror, Mystery & thriller, Action",French
461,Private Life,2018-10-05,"Comedy, Drama",English
462,The Wild Boys,2018-08-24,"Adventure, Fantasy",French
463,Judas and the Black Messiah,2021-02-12,"History, Drama, Biography",English
464,Black Panther,2018-02-16,"Action, Adventure, Fantasy",English
465,Days of the Bagnold Summer,2021-02-19,Comedy,English
466,Rumble: The Indians Who Rocked the World,2017-07-26,"Documentary, Music",English
467,The Pez Outlaw,2022-10-21,Documentary,English
468,Happy Hunting,2017-09-22,"Horror, Mystery & thriller",English
469,Microbe and Gasoline,2016-07-01,"Comedy, Adventure",French
470,The Uncondemned,2016-10-21,Documentary,English
471,Ainu Mosir,2020-11-17,Drama,Japanese
472,Far From the Tree,2018-07-20,Documentary,English
473,All the Rage,2017-06-23,Documentary,English
474,El Camino: A Breaking Bad Movie,2019-10-11,"Crime, Drama",English
475,The United States of Insanity,2021-10-26,"Documentary, Music",English
