movie_id,audienceScore,tomatoMeter,popularity,vote_average,vote_count
300,88.0,91.0,1.4,4.0,1.0
301,64.0,96.0,9.961,7.1,215.0
302,83.0,95.0,1.4,0.0,0.0
303,73.0,96.0,4.862,6.7,78.0
304,92.0,88.0,2.552,6.5,4.0
306,26.0,93.0,5.499,5.6,21.0
308,78.0,100.0,3.862,5.6,5.0
309,96.0,96.0,6.099,7.2,21.0
311,60.0,96.0,2.383,6.1,10.0
312,74.0,99.0,5.245,0.0,0.0
313,94.0,94.0,23.287,7.4,360.0
316,76.0,93.0,15.467,7.4,107.0
318,81.0,96.0,3.774,7.4,15.0
320,89.0,94.0,7.625,8.0,206.0
322,86.0,94.0,3.98,7.1,23.0
323,91.0,88.0,34.597,7.8,2978.0
325,76.0,97.0,16.355,6.8,567.0
326,63.0,94.0,14.062,6.7,132.0
332,100.0,95.0,3.169,7.2,5.0
333,94.0,63.0,20.53,7.9,54.0
334,92.0,98.0,22.684,8.2,1543.0
335,88.0,95.0,3.53,6.8,14.0
337,75.0,100.0,2.663,6.5,2.0
338,76.0,98.0,6.022,7.1,85.0
339,69.0,100.0,5.797,7.8,17.0
340,99.0,85.0,19.638,8.0,1499.0
342,90.0,100.0,1.839,6.7,6.0
345,66.0,91.0,13.886,0.0,0.0
346,89.0,95.0,52.87,7.4,5665.0
348,52.0,100.0,2.484,6.2,39.0
352,78.0,91.0,8.063,7.1,331.0
353,77.0,98.0,4.715,7.0,33.0
354,98.0,91.0,3641.782,7.9,2201.0
355,94.0,57.0,70.902,7.1,8155.0
356,83.0,100.0,2.249,7.1,7.0
357,74.0,93.0,7.163,6.6,140.0
360,99.0,100.0,9.703,8.6,205.0
361,80.0,97.0,9.373,7.3,95.0
362,91.0,97.0,12.012,7.1,867.0
363,51.0,97.0,2.461,6.9,39.0
364,72.0,96.0,10.054,7.1,1372.0
365,91.0,88.0,8.755,7.4,178.0
366,76.0,93.0,10.999,6.9,103.0
369,92.0,86.0,33.701,6.0,1.0
370,92.0,82.0,0.695,8.0,2.0
371,82.0,97.0,12.409,7.3,339.0
375,79.0,93.0,4.255,7.4,49.0
376,91.0,93.0,2.907,5.9,5.0
377,85.0,98.0,5.268,0.0,0.0
378,80.0,100.0,2.344,6.6,36.0
381,83.0,100.0,8.044,6.6,56.0
382,39.0,97.0,4.272,6.3,47.0
383,91.0,53.0,112.187,6.5,24.0
384,94.0,35.0,9.439,5.9,60.0
386,75.0,94.0,99.026,7.4,24.0
387,95.0,89.0,18.363,7.5,1339.0
388,88.0,100.0,2.586,8.0,2.0
389,50.0,97.0,2.472,5.8,12.0
392,80.0,100.0,6.709,7.1,130.0
393,83.0,93.0,2.161,7.3,12.0
394,94.0,98.0,2.454,6.5,11.0
397,80.0,96.0,8.938,7.3,213.0
399,81.0,96.0,2.843,6.0,12.0
400,60.0,91.0,6.743,6.2,111.0
401,55.0,91.0,66.445,6.2,358.0
402,77.0,94.0,12.458,7.1,535.0
403,86.0,94.0,4.373,0.0,0.0
404,69.0,91.0,8.752,4.9,7.0
406,86.0,100.0,3.158,0.0,0.0
407,67.0,93.0,3.472,6.7,56.0
409,84.0,100.0,2.439,6.3,4.0
410,83.0,94.0,3.387,6.9,19.0
411,75.0,92.0,2.355,6.5,15.0
412,91.0,56.0,1.46,7.3,13.0
413,100.0,94.0,0.6,3.0,1.0
414,93.0,93.0,0.6,0.0,0.0
415,91.0,9.0,2.769,5.0,2.0
416,95.0,68.0,25.358,6.8,111.0
418,91.0,75.0,353.352,7.9,7195.0
419,71.0,91.0,2.497,6.2,5.0
420,85.0,100.0,2.768,7.3,12.0
421,89.0,98.0,78.818,7.9,17113.0
422,68.0,100.0,6.799,4.8,70.0
423,80.0,97.0,5.074,7.3,49.0
424,38.0,97.0,2.03,6.0,1.0
428,100.0,85.0,3.611,7.0,3.0
433,67.0,92.0,6.688,6.5,87.0
434,86.0,100.0,8.897,8.0,187.0
435,83.0,100.0,9.192,7.3,229.0
437,85.0,92.0,10.42,7.8,1061.0
439,97.0,98.0,3.985,8.0,23.0
440,93.0,85.0,5.024,7.6,19.0
441,92.0,98.0,72.573,7.7,13383.0
442,93.0,64.0,12.346,5.8,320.0
443,75.0,100.0,2.606,7.8,8.0
445,87.0,91.0,10.768,7.6,746.0
448,91.0,84.0,16.954,8.1,5498.0
449,94.0,77.0,5.809,0.0,0.0
450,76.0,100.0,7.294,7.1,143.0
451,89.0,94.0,8.156,7.2,44.0
453,90.0,100.0,1.975,7.5,5.0
454,93.0,100.0,3.103,6.6,14.0
455,91.0,69.0,6.287,6.7,37.0
456,67.0,98.0,2.732,6.0,2.0
459,53.0,96.0,7.074,5.3,27.0
460,69.0,96.0,1.694,6.0,2.0
461,78.0,94.0,8.16,7.0,247.0
462,82.0,91.0,5.027,6.5,104.0
463,95.0,97.0,17.873,7.5,826.0
464,79.0,96.0,102.447,7.4,18134.0
465,68.0,92.0,3.734,6.3,27.0
466,89.0,91.0,2.625,8.6,7.0
468,48.0,100.0,5.007,5.1,81.0
469,72.0,92.0,7.103,6.1,112.0
470,100.0,100.0,0.689,7.0,3.0
471,67.0,100.0,2.797,7.0,2.0
472,95.0,90.0,3.865,7.8,8.0
474,81.0,92.0,25.399,6.9,3492.0
477,89.0,97.0,3.832,6.8,16.0
480,75.0,92.0,7.334,0.0,0.0
481,81.0,99.0,2.758,7.1,19.0
482,75.0,92.0,3.775,7.9,7.0
485,70.0,99.0,6.373,6.8,181.0
486,57.0,98.0,3.961,6.4,10.0
487,86.0,95.0,5.092,6.3,11.0
488,92.0,97.0,15.905,8.3,1579.0
489,54.0,96.0,6.29,6.5,92.0
490,85.0,92.0,4.141,1.0,1.0
491,84.0,100.0,3.266,6.6,7.0
492,83.0,95.0,2.951,7.2,5.0
494,59.0,93.0,4.045,0.0,0.0
496,96.0,60.0,11.194,7.6,310.0
497,80.0,92.0,4.225,7.0,24.0
498,78.0,92.0,32.588,6.8,1284.0
499,55.0,95.0,1.4,0.0,0.0
501,68.0,98.0,3.664,7.6,13.0
502,67.0,92.0,6.412,6.5,168.0
503,98.0,75.0,20.654,6.4,13.0
504,46.0,95.0,1.96,6.3,17.0
506,92.0,96.0,3.547,9.0,6.0
508,77.0,92.0,16.982,6.9,659.0
509,99.0,89.0,4.166,7.7,21.0
510,93.0,88.0,1155.624,8.3,12.0
512,50.0,96.0,4.21,5.9,69.0
513,78.0,96.0,3.415,7.7,14.0
515,86.0,98.0,26.527,7.4,878.0
516,77.0,91.0,6.586,6.9,55.0
