year_film,year_ceremony,ceremony,canon_category,name,title,winner,nomination_id
2016,2017,89,BEST PICTURE,Adele Romanski/Dede Gardner/Jeremy Kleiner,Moonlight,True,158
2016,2017,89,ART DIRECTION,Patrice Vermette/Paul Hotte,Arrival,False,159
2016,2017,89,ART DIRECTION,Jess Gonchor/Nancy Haigh,"Hail, Caesar!",False,160
2016,2017,89,ART DIRECTION,David Wasco/Sandy Reynolds-Wasco,La La Land,True,161
2016,2017,89,SHORT FILM (Animated),Patrick Osborne,Pearl,False,162
2016,2017,89,SOUND EDITING,Sylvain Bellemare,Arrival,True,163
2016,2017,89,SOUND EDITING,Wylie Stateman/Renée Tondelli,Deepwater Horizon,False,164
2016,2017,89,SOUND EDITING,Robert Mackenzie/Andy Wright,Hacksaw Ridge,False,165
2016,2017,89,SOUND EDITING,Ai-Ling Lee/Mildred Iatrou Morgan,La La Land,False,166
2016,2017,89,SOUND EDITING,Alan Robert Murray/Bub Asman,Sully,False,167
2016,2017,89,SOUND MIXING,Bernard Gariépy Strobl/Claude La Haye,Arrival,False,168
2016,2017,89,SOUND MIXING,Kevin O'Connell/Andy Wright/Robert Mackenzie/Peter Grace,Hacksaw Ridge,True,169
2016,2017,89,SOUND MIXING,Andy Nelson/Ai-Ling Lee/Steve A. Morrow,La La Land,False,170
2016,2017,89,SOUND MIXING,David Parker/Christopher Scarabosio/Stuart Wilson,Rogue One: A Star Wars Story,False,171
2016,2017,89,SOUND MIXING,Gary Summers/Jeffrey J. Haboush/Mac Ruth,13 Hours: The Secret Soldiers of Benghazi,False,172
2016,2017,89,VISUAL EFFECTS,Craig Hammack/Jason Snell/Jason Billington/Burt Dalton,Deepwater Horizon,False,173
2016,2017,89,VISUAL EFFECTS,Stephane Ceretti/Richard Bluff/Vincent Cirelli/Paul Corbould,Doctor Strange,False,174
2016,2017,89,VISUAL EFFECTS,Robert Legato/Adam Valdez/Andrew R. Jones/Dan Lemmon,The Jungle Book,True,175
2016,2017,89,VISUAL EFFECTS,Steve Emerson/Oliver Jones/Brian McLean/Brad Schiff,Kubo and the Two Strings,False,176
2016,2017,89,VISUAL EFFECTS,John Knoll/Mohen Leo/Hal Hickel/Neil Corbould,Rogue One: A Star Wars Story,False,177
2016,2017,89,WRITING (Adapted Screenplay),Eric Heisserer,Arrival,False,178
2016,2017,89,WRITING (Adapted Screenplay),August Wilson,Fences,False,179
2016,2017,89,WRITING (Adapted Screenplay),Allison Schroeder/Theodore Melfi,Hidden Figures,False,180
2016,2017,89,WRITING (Adapted Screenplay),Luke Davies,Lion,False,181
2016,2017,89,WRITING (Adapted Screenplay),Barry Jenkins/Tarell Alvin McCraney,Moonlight,True,182
2016,2017,89,WRITING (Original Screenplay),Taylor Sheridan,Hell or High Water,False,183
2016,2017,89,WRITING (Original Screenplay),Damien Chazelle,La La Land,False,184
2016,2017,89,WRITING (Original Screenplay),Yorgos Lanthimos/Efthimis Filippou,The Lobster,False,185
2016,2017,89,WRITING (Original Screenplay),Kenneth Lonergan,Manchester by the Sea,True,186
2016,2017,89,WRITING (Original Screenplay),Mike Mills,20th Century Women,False,187
2017,2018,90,ACTOR IN A LEADING ROLE,Timothée Chalamet,Call Me by Your Name,False,188
2017,2018,90,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Phantom Thread,False,189
2017,2018,90,ACTOR IN A LEADING ROLE,Daniel Kaluuya,Get Out,False,190
2017,2018,90,ACTOR IN A LEADING ROLE,Gary Oldman,Darkest Hour,True,191
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Willem Dafoe,The Florida Project,False,192
