title,audienceScore,tomatoMeter,popularity,vote_average,vote_count
Don't Kill It,39.0,93.0,26.413,6.2,151.0
Alita: Battle Angel,92.0,61.0,56.338,7.2,7031.0
Montana Story,69.0,87.0,1.759,0.0,0.0
Teacher,59.0,100.0,5.53,6.9,22.0
Mummies,85.0,70.0,,,
While We're Young,51.0,84.0,,,
Spotlight,93.0,97.0,15.982,7.8,6832.0
Moon Manor,85.0,88.0,,,
Hearing Is Believing,92.0,60.0,0.6,0.0,0.0
Spoiler Alert,97.0,85.0,,,
Hunt for the Wilderpeople,91.0,97.0,13.649,7.7,1499.0
Baahubali 2: The Conclusion,86.0,87.0,,,
A Tuba to Cuba,82.0,100.0,,,
Mali Blues,100.0,89.0,0.6,5.0,3.0
Facing Nolan,100.0,98.0,,,
Miss Stevens,70.0,91.0,7.635,6.6,172.0
I Lost My Body,83.0,97.0,10.742,7.6,913.0
Christopher Robin,83.0,72.0,22.12,7.4,2159.0
The Girl Who Believes in Miracles,93.0,40.0,,,
No Home Movie,68.0,89.0,1.655,6.8,23.0
The Confirmation,58.0,91.0,0.639,10.0,1.0
The Confirmation,58.0,91.0,6.696,6.4,145.0
Hitler's Hollywood,50.0,90.0,1.726,6.2,19.0
The Way Back,84.0,84.0,15.636,6.7,665.0
Terminator: Dark Fate,82.0,70.0,49.359,6.5,3777.0
The Image Book,54.0,90.0,3.79,6.2,47.0
2022 Oscar Nominated Shorts - Live Action,88.0,89.0,,,
Atlantis,62.0,97.0,1.977,5.9,15.0
Mr. Roosevelt,59.0,100.0,3.72,6.1,46.0
The Lighthouse,72.0,90.0,0.6,4.8,4.0
The Lighthouse,72.0,90.0,0.6,0.0,0.0
The Lighthouse,72.0,90.0,3.269,4.8,13.0
The Lighthouse,72.0,90.0,28.153,7.5,2926.0
The Endless,67.0,92.0,15.028,6.3,710.0
"No Date, No Signature",95.0,91.0,4.983,6.9,84.0
The Race to Alaska,100.0,100.0,,,
Hearts and Bones,50.0,82.0,2.929,6.0,9.0
Mickey and the Bear,75.0,100.0,3.407,5.9,23.0
Presenting Princess Shaw,65.0,91.0,3.427,6.4,7.0
The Greatest Beer Run Ever,91.0,43.0,,,
"Hail, Caesar!",44.0,86.0,13.986,5.9,3173.0
The SpongeBob Movie: Sponge Out of Water,54.0,81.0,40.793,6.1,1867.0
Tumbbad,95.0,86.0,10.608,7.7,137.0
From Nowhere,80.0,92.0,1.985,5.5,6.0
The Hater,50.0,90.0,7.887,7.0,387.0
The Hater,50.0,90.0,19.334,5.5,4.0
Ramen Heads,86.0,65.0,1.765,6.3,16.0
King Richard,98.0,90.0,38.082,6.5,4.0
The Killing of Kenneth Chamberlain,85.0,97.0,4.021,8.3,4.0
Fresh Dressed,55.0,91.0,2.954,6.3,25.0
A Band Called Impaled Rektum,85.0,94.0,,,
The Wife,76.0,86.0,8.324,7.2,858.0
The Wife,76.0,86.0,0.6,1.0,1.0
Arabian Nights: Volume 1 -- The Restless One,72.0,97.0,,,
Human Flow,81.0,91.0,5.572,6.8,58.0
Cunningham,83.0,89.0,1.337,7.1,8.0
Good Time,82.0,91.0,16.965,7.2,2013.0
Cold War,81.0,92.0,2.346,7.3,10.0
Cold War,81.0,92.0,9.076,7.5,1140.0
We Come as Friends,63.0,97.0,,,
Journey's End,72.0,91.0,11.61,6.2,196.0
Mia and the White Lion,51.0,88.0,24.213,7.3,694.0
Along With the Gods: The Two Worlds,83.0,67.0,,,
First Reformed,69.0,94.0,17.746,7.0,986.0
Superpower Dogs,84.0,100.0,1.188,9.0,2.0
Arctic,78.0,90.0,11.351,6.4,845.0
Jane,85.0,98.0,7.967,7.6,89.0
Jane,85.0,98.0,2.736,7.4,4.0
Jane,85.0,98.0,0.6,0.0,0.0
Baby Done,40.0,93.0,,,
Linoleum,89.0,81.0,5.941,0.0,0.0
Ticket to Paradise,87.0,56.0,,,
Toni Morrison: The Pieces I Am,96.0,97.0,3.446,7.7,13.0
Joy Ride,83.0,100.0,,,
Meeting Gorbachev,69.0,86.0,4.807,6.7,40.0
Good Night Oppy,100.0,87.0,,,
Blame,65.0,81.0,7.409,6.7,97.0
McLaren,84.0,79.0,5.066,7.8,70.0
