title,audienceScore,tomatoMeter,popularity,vote_average,vote_count
Molly's Game,84.0,82.0,20.537,7.1,2930.0
Tikkun,46.0,95.0,1.96,6.3,17.0
Moffie,69.0,91.0,3.909,7.3,44.0
Crock of Gold: A Few Rounds With Shane MacGowan,92.0,96.0,3.547,9.0,6.0
Harry & Snowman,81.0,94.0,,,
Thelma,77.0,92.0,16.982,6.9,659.0
Linda Ronstadt: The Sound of My Voice,99.0,89.0,4.166,7.7,21.0
Fahrenheit 11/9,61.0,82.0,10.775,7.2,328.0
The Bad Guys,93.0,88.0,1155.624,8.3,12.0
Honest Thief,87.0,40.0,120.717,6.5,1125.0
Uncle Howard,62.0,92.0,,,
The Forbidden Room,50.0,96.0,4.21,5.9,69.0
Step,78.0,96.0,3.415,7.7,14.0
Step,78.0,96.0,1.4,6.0,1.0
Decision to Leave,86.0,93.0,,,
Minari,86.0,98.0,26.527,7.4,878.0
Mr. Gaga,85.0,87.0,2.791,7.4,37.0
Loopers: The Caddie's Long Walk,86.0,75.0,,,
Professor Marston & the Wonder Women,77.0,87.0,,,
Together Together,77.0,91.0,6.586,6.9,55.0
Some Freaks,71.0,92.0,3.269,6.3,40.0
Hotel by the River,65.0,95.0,3.242,6.5,36.0
Sardar Udham,95.0,94.0,8.13,7.8,12.0
The Miseducation of Cameron Post,76.0,86.0,15.629,6.9,735.0
Fyre,86.0,93.0,9.724,6.9,728.0
I Am the Blues,89.0,100.0,,,
The Dry,89.0,90.0,23.715,6.9,187.0
Swallows and Amazons,62.0,94.0,6.518,6.4,70.0
House of Hummingbird,75.0,98.0,4.708,7.5,45.0
Thunder Road,91.0,97.0,2.456,7.3,29.0
Thunder Road,91.0,97.0,7.859,6.9,263.0
Merata: How Mum Decolonised the Screen,100.0,92.0,2.899,6.7,7.0
Ghostbusters: Afterlife,94.0,63.0,375.68,7.4,298.0
Writing with Fire,78.0,100.0,,,
Cameraperson,69.0,99.0,4.593,7.0,57.0
Synonymes,33.0,87.0,,,
The Witness,77.0,90.0,1.803,7.7,32.0
The Witness,77.0,90.0,4.525,7.1,55.0
The Witness,77.0,90.0,6.805,6.9,76.0
The Art of Racing in the Rain,96.0,45.0,18.585,8.4,916.0
Death of a Nation,88.0,0.0,4.888,4.5,33.0
Diane,69.0,93.0,3.25,6.6,22.0
Black and Blue,93.0,51.0,22.954,6.7,570.0
Feels Good Man,83.0,95.0,4.742,7.2,32.0
My Scientology Movie,59.0,89.0,8.152,6.6,221.0
Scarred Hearts,86.0,78.0,1.925,5.2,14.0
Dingo,76.0,83.0,,,
Operation Mincemeat,66.0,83.0,7.98,0.0,0.0
Félicité,46.0,98.0,1.676,6.2,28.0
Jojo Rabbit,94.0,80.0,31.265,8.1,6711.0
Survival Skills,47.0,88.0,2.481,5.2,5.0
Dying Laughing,29.0,82.0,3.485,6.4,15.0
Orion: The Man Who Would Be King,86.0,87.0,3.024,7.0,19.0
Created Equal: Clarence Thomas in His Own Words,99.0,33.0,2.813,6.5,2.0
Boy and the World,77.0,93.0,,,
Ride the Eagle,66.0,82.0,3.689,7.8,5.0
You Resemble Me,92.0,94.0,1.855,6.0,2.0
Peace Officer,87.0,100.0,1.947,7.1,6.0
Section 375,100.0,64.0,2.379,7.5,39.0
Slash/Back,49.0,92.0,,,
The Unicorn,64.0,91.0,2.737,5.0,24.0
Searching,87.0,92.0,22.33,7.6,2906.0
Framing John DeLorean,64.0,90.0,5.881,6.2,42.0
Asperger's Are Us,87.0,100.0,3.151,5.9,13.0
The Keeper,87.0,87.0,6.679,7.8,128.0
The Keeper,87.0,87.0,0.846,0.0,0.0
Spa Night,60.0,96.0,2.726,6.6,11.0
High Life,43.0,82.0,11.716,5.8,771.0
Tar,86.0,29.0,,,
Redoubt,60.0,88.0,,,
Ascension,60.0,98.0,1.342,0.0,0.0
Is That Black Enough for You?!?,65.0,100.0,,,
EO,67.0,96.0,,,
The Armor of Light,68.0,96.0,2.598,3.8,14.0
The Insult,88.0,86.0,9.034,7.5,352.0
Marjorie Prime,60.0,90.0,9.13,6.1,140.0
American Sniper,84.0,72.0,,,
Chasing the Win,100.0,100.0,,,
A Beautiful Planet,78.0,100.0,4.087,6.9,44.0
The Hidden Life of Trees,67.0,95.0,,,
Return to Seoul,61.0,96.0,,,
The Measure of a Man,60.0,92.0,6.332,6.5,261.0
Aferim!,76.0,98.0,3.683,7.5,66.0
Vikram Vedha,95.0,79.0,5.883,7.5,112.0
Coming Home,85.0,89.0,0.6,0.0,0.0
Coming Home,85.0,89.0,2.092,10.0,1.0
Coming Home,85.0,89.0,1.537,10.0,3.0
Coming Home,85.0,89.0,0.84,2.0,1.0
Nossa Chape,95.0,92.0,1.871,7.1,7.0
The Death of Dick Long,86.0,74.0,4.962,6.1,70.0
Betrayed,100.0,100.0,3.352,7.1,7.0
Legion of Brothers,68.0,100.0,3.047,6.0,11.0
Bombshell,84.0,68.0,24.007,6.9,2190.0
Bombshell,84.0,68.0,0.717,5.0,1.0
When Hitler Stole Pink Rabbit,76.0,81.0,8.409,7.0,68.0
Await Further Instructions,28.0,81.0,7.01,5.3,176.0
Gold Star,67.0,88.0,,,
Room,93.0,93.0,16.406,8.1,7612.0
Freaks,86.0,88.0,43.707,6.9,767.0
The Last King,45.0,89.0,33.527,5.7,187.0
Queen of Paradis,93.0,100.0,,,
¡Viva Maestro!,50.0,100.0,,,
Jimmy Vestvood: Amerikan Hero,79.0,83.0,2.369,5.4,29.0
The Traitor,71.0,85.0,15.617,7.8,1019.0
Language Lessons,82.0,96.0,5.049,4.0,2.0
Sin,73.0,95.0,0.768,6.5,2.0
Sin,73.0,95.0,3.955,6.2,41.0
Sonchiraiya,88.0,80.0,,,
Slow West,74.0,92.0,12.506,6.7,776.0
Captain Fantastic,85.0,83.0,17.309,7.9,5157.0
Be Here Now (The Andy Whitfield Story),93.0,100.0,,,
The Protégé,82.0,62.0,663.751,6.8,338.0
Parasite,90.0,99.0,75.787,8.5,12461.0
Mi America,86.0,50.0,,,
The Russian Five,98.0,100.0,4.019,8.3,16.0
Call Me by Your Name,86.0,94.0,115.446,8.3,9605.0
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,79.0,95.0,,,
11:55,80.0,100.0,2.741,4.3,13.0
Under the Tree,62.0,85.0,11.4,6.9,113.0
The Midwife,77.0,88.0,5.436,6.0,99.0
The Midwife,77.0,88.0,1.684,6.0,20.0
The Midwife,77.0,88.0,2.922,0.0,0.0
Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,100.0,96.0,,,
The Last Duel,81.0,85.0,92.04,7.6,403.0
"Goodbye, Petrushka",99.0,100.0,,,
Ex Libris: The New York Public Library,61.0,97.0,4.333,6.3,48.0
The Stanford Prison Experiment,75.0,84.0,11.477,6.9,766.0
In This Corner of the World,89.0,97.0,35.615,8.1,410.0
First Man,67.0,87.0,1.38,8.1,7.0
First Man,67.0,87.0,23.35,7.0,4232.0
Turn It Around: The Story of East Bay Punk,92.0,83.0,3.467,7.4,8.0
The Edge of Seventeen,83.0,94.0,29.89,7.2,3311.0
In the Intense Now,50.0,83.0,1.4,7.6,11.0
Prospect,71.0,89.0,16.503,6.1,510.0
American Siege,92.0,8.0,2354.466,5.6,12.0
A Quiet Place Part II,92.0,91.0,222.986,7.7,3310.0
Parallel,44.0,82.0,12.9,6.4,46.0
The Price,81.0,83.0,2.773,5.0,10.0
Beyond the Gates,29.0,83.0,8.179,5.1,144.0
Official Competition,81.0,96.0,2.22,7.4,4.0
Nightmare Alley,68.0,81.0,28.676,8.1,7.0
Fast & Furious Presents: Hobbs & Shaw,88.0,68.0,121.594,6.9,5425.0
The Mermaid,60.0,95.0,46.77,6.4,240.0
Midnight Traveler,79.0,98.0,4.423,5.8,10.0
Still Here,85.0,25.0,4.326,6.2,17.0
Charli XCX: Alone Together,62.0,85.0,4.71,7.0,1.0
Our American Family,70.0,100.0,,,
Save Yourselves!,60.0,89.0,6.776,6.1,109.0
Desert One,91.0,88.0,2.192,6.3,3.0
F9 The Fast Saga,82.0,60.0,,,
Gilbert,87.0,95.0,5.883,6.7,44.0
Detective Knight: Rogue,83.0,67.0,,,
Haunt,100.0,69.0,24.239,6.7,707.0
Haunt,100.0,69.0,0.6,7.3,3.0
Gemini Man,83.0,26.0,36.023,6.4,4016.0
Minding the Gap,91.0,100.0,9.721,7.8,129.0
The Barkley Marathons: The Race That Eats Its Young,85.0,67.0,,,
Meadowland,56.0,92.0,6.561,5.9,91.0
Gloria,67.0,100.0,,,
Combat Obscura,74.0,100.0,,,
Tread,87.0,92.0,4.162,6.7,35.0
The Tribe,69.0,88.0,8.507,6.3,168.0
No Stone Unturned,88.0,80.0,3.945,7.3,13.0
The Brooklyn Banker,91.0,20.0,,,
Three Minutes - A Lengthening,79.0,100.0,,,
Chavela,81.0,95.0,3.09,7.2,18.0
Sing a Bit of Harmony,97.0,100.0,8.548,0.0,0.0
Benjamin,77.0,90.0,5.127,6.8,42.0
Benjamin,77.0,90.0,0.6,0.0,0.0
Novitiate,70.0,86.0,12.217,6.3,121.0
The Biggest Little Farm,95.0,91.0,8.488,7.7,98.0
The Iron Orchard,88.0,28.0,4.105,6.0,4.0
Living in the Future's Past,84.0,83.0,2.885,5.8,4.0
Zola,68.0,88.0,11.426,6.4,55.0
Dina,82.0,97.0,2.734,6.3,15.0
Spider-Man: Into the Spider-Verse,93.0,97.0,174.121,8.4,10146.0
Ouija: Origin of Evil,57.0,83.0,39.341,6.1,1957.0
Touched With Fire,89.0,67.0,,,
Copshop,74.0,82.0,35.719,6.3,105.0
The Fencer,75.0,85.0,3.7,7.1,50.0
In from the Side,94.0,50.0,,,
Little Fish,84.0,91.0,6.131,7.2,71.0
Little Fish,84.0,91.0,0.6,0.0,0.0
Find Me,57.0,100.0,1.561,6.8,5.0
7 Prisoners,89.0,98.0,47.999,7.6,10.0
The Midnight Swim,54.0,86.0,,,
After We Collided,93.0,13.0,332.364,7.3,4274.0
Tom & Jerry,82.0,30.0,231.691,7.1,1839.0
Blinded by the Light,91.0,89.0,14.402,7.0,423.0
"Paris, 13th District",75.0,83.0,9.927,7.4,25.0
Green Book,91.0,77.0,27.895,8.3,8393.0
Undine,59.0,89.0,9.518,6.5,112.0
Secret Superstar,86.0,92.0,6.881,7.6,105.0
Can You Ever Forgive Me?,81.0,98.0,15.908,6.8,991.0
Infinite Football,60.0,96.0,1.4,6.8,9.0
The Card Counter,42.0,87.0,26.915,6.6,202.0
My Father's Dragon,70.0,87.0,,,
The Martian,91.0,91.0,52.459,7.7,16260.0
Fear and Loathing in Aspen,82.0,60.0,,,
The Unbearable Weight of Massive Talent,87.0,87.0,2.981,0.0,0.0
Esto no es Berlín,67.0,82.0,,,
God Knows Where I Am,85.0,85.0,3.098,6.4,21.0
Spider-Man: Far From Home,95.0,90.0,,,
Pope Francis -- A Man of His Word,74.0,82.0,,,
Ahead of the Curve,90.0,96.0,,,
Daddy Issues,76.0,89.0,3.926,5.1,14.0
Room for Rent,43.0,83.0,5.932,6.4,51.0
Room for Rent,43.0,83.0,1.437,6.5,6.0
Mondo Hollywoodland,86.0,88.0,,,
Pretty Problems,96.0,67.0,,,
Crazy Rich Asians,76.0,91.0,19.402,7.1,2820.0
Birthright: A War Story,50.0,100.0,,,
The Outside Story,78.0,88.0,,,
The Favourite,70.0,93.0,17.082,7.6,4152.0
Maudie,89.0,89.0,11.368,7.8,311.0
Dheepan,82.0,88.0,7.433,6.9,353.0
The Human Factor,73.0,96.0,2.042,6.3,3.0
Margrete: Queen of the North,53.0,94.0,5.407,7.0,10.0
From the Hood to the Holler,94.0,88.0,,,
Delicious,95.0,100.0,4.144,6.5,40.0
Antarctica: Ice and Sky,52.0,89.0,,,
My Great Night,61.0,90.0,,,
Drunk Bus,70.0,98.0,1.241,5.0,12.0
"All Light, Everywhere",64.0,94.0,1.549,7.0,1.0
Beach Rats,57.0,84.0,7.514,5.9,415.0
Angkor Awakens: A Portrait of Cambodia,80.0,93.0,,,
The Peanut Butter Falcon,96.0,95.0,14.544,7.4,883.0
Pearl Jam: Let's Play Two,96.0,82.0,,,
In the Shadow of Women,55.0,87.0,2.636,6.0,37.0
Slalom,59.0,100.0,5.476,6.9,55.0
La familia,50.0,91.0,,,
Curvature,83.0,44.0,5.45,4.9,39.0
Peter Rabbit 2: The Runaway,89.0,67.0,198.474,7.4,431.0
Scream,81.0,76.0,588.452,7.3,342.0
Hacksaw Ridge,91.0,84.0,163.301,8.2,10151.0
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,69.0,88.0,4.35,6.7,50.0
Gifted,85.0,73.0,52.938,8.1,4113.0
Gifted,85.0,73.0,1.355,6.8,5.0
Vengeance Is Mine,82.0,71.0,,,
Clifford the Big Red Dog,94.0,58.0,2960.577,7.5,525.0
Welcome to Leith,75.0,96.0,4.723,6.6,60.0
The Vast of Night,66.0,93.0,16.662,6.6,683.0
Long Strange Trip,90.0,100.0,,,
Equity,52.0,82.0,9.582,5.7,74.0
The Storyteller,99.0,71.0,1.593,7.0,4.0
Only in Theaters,95.0,86.0,,,
The King's Choice,83.0,83.0,7.515,6.8,106.0
Blind Ambition,67.0,100.0,1.003,0.0,0.0
Some Kind of Heaven,75.0,93.0,1.516,7.7,7.0
Fabian: Going to the Dogs,80.0,89.0,2.125,7.5,5.0
Five Fingers for Marseilles,89.0,77.0,3.564,5.3,19.0
Angel of Mine,86.0,73.0,12.613,6.3,181.0
Good Fortune,96.0,78.0,,,
My Hero Academia: World Heroes' Mission,95.0,86.0,168.832,7.2,31.0
Wild Tales,92.0,94.0,,,
Transformer,86.0,100.0,8.723,5.9,31.0
99 Homes,78.0,93.0,,,
Bridge of Spies,87.0,91.0,18.126,7.2,5673.0
Machines,88.0,93.0,0.95,6.0,11.0
The Last Resort,62.0,92.0,3.581,7.0,6.0
The Last Resort,62.0,92.0,0.6,5.8,4.0
Heart of Champions,81.0,29.0,4.088,6.3,3.0
God of War,52.0,82.0,11.729,5.7,49.0
"Scream, Queen! My Nightmare on Elm Street",88.0,100.0,5.221,6.8,23.0
The Souvenir,36.0,89.0,9.689,6.3,136.0
A Brave Heart: The Lizzie Velasquez Story,93.0,93.0,3.143,8.0,6.0
Ms. Purple,71.0,87.0,2.629,6.4,13.0
April and the Extraordinary World,77.0,97.0,8.368,7.0,231.0
White God,71.0,87.0,,,
After Auschwitz,83.0,100.0,3.053,6.6,5.0
This Magnificent Cake!,90.0,100.0,1.07,6.4,26.0
Crawl,75.0,84.0,46.903,6.3,2319.0
Rocketry: The Nambi Effect,100.0,64.0,,,
Take Me Somewhere Nice,67.0,93.0,2.105,6.0,17.0
Live Cargo,81.0,36.0,2.961,6.1,10.0
Kangaroo,96.0,78.0,,,
Paddington,80.0,97.0,,,
Janhit Mein Jaari,81.0,25.0,,,
Wexford Plaza,83.0,100.0,,,
Mohawk,32.0,84.0,4.394,5.3,49.0
Cosmic Dawn,43.0,83.0,,,
Coyote Lake,75.0,83.0,,,
Wild Rose,87.0,92.0,7.698,6.8,228.0
Wild Men,75.0,86.0,1.335,7.5,2.0
Wild Men,75.0,86.0,0.7,10.0,1.0
Joker,88.0,69.0,1.523,7.4,15.0
Joker,88.0,69.0,117.241,8.2,19006.0
Command and Control,76.0,95.0,3.561,6.7,26.0
Hell Hath No Fury,45.0,93.0,10.186,7.8,16.0
The Wandering Soap Opera,67.0,100.0,1.073,6.7,11.0
Sonic the Hedgehog,93.0,64.0,130.563,7.4,7245.0
Lonesome,33.0,100.0,,,
Labyrinth of Lies,78.0,82.0,,,
The Wanton Contessa,73.0,87.0,,,
Bomb City,82.0,75.0,7.995,7.2,195.0
Never Gonna Snow Again,67.0,93.0,2.63,6.3,19.0
Spontaneous,67.0,96.0,13.275,7.2,295.0
Spontaneous,67.0,96.0,0.61,6.0,1.0
Love & Bananas: An Elephant Story,86.0,94.0,3.055,7.3,4.0
Come True,57.0,85.0,21.533,5.9,112.0
Moonlight,79.0,98.0,20.491,7.4,5834.0
Hidden Figures,93.0,93.0,48.089,8.1,7313.0
I'll Find You,85.0,85.0,7.936,6.0,2.0
Widows,61.0,91.0,21.121,6.5,1785.0
The True Cost,81.0,63.0,9.362,7.7,184.0
Blacklight,82.0,11.0,3641.05,5.7,175.0
Shaft,94.0,34.0,14.072,6.6,1280.0
Abacus: Small Enough to Jail,84.0,93.0,4.131,7.0,56.0
The Cat and the Moon,91.0,78.0,3.585,5.3,8.0
Dalida,85.0,33.0,7.867,6.7,212.0
Mad Max: Fury Road,86.0,97.0,59.999,7.5,18614.0
Creed II,80.0,83.0,53.183,6.9,3941.0
Never Grow Old,63.0,90.0,10.05,6.1,143.0
1985,82.0,96.0,0.6,5.3,4.0
1985,82.0,96.0,4.951,6.2,42.0
In Her Name,89.0,100.0,6.018,6.7,233.0
Weiner,83.0,96.0,7.905,7.4,131.0
The Spy Gone North,94.0,100.0,9.882,7.4,110.0
The Bleeder,63.0,81.0,,,
Unlovable,70.0,82.0,4.889,6.7,24.0
1982,83.0,95.0,1.075,8.2,13.0
1982,83.0,95.0,1.11,8.0,10.0
The Third Murder,67.0,87.0,6.767,6.6,154.0
Anthropocene: The Human Epoch,62.0,89.0,3.852,7.1,39.0
Blade of the Immortal,70.0,87.0,16.862,6.5,371.0
Cuties,15.0,87.0,2.742,6.4,4.0
Cuties,15.0,87.0,14.229,5.3,299.0
The Outfit,92.0,85.0,5.992,0.0,0.0
The Outfit,92.0,85.0,41.989,6.0,3.0
A Hidden Life,72.0,82.0,22.569,7.1,448.0
13 Hours: The Secret Soldiers of Benghazi,82.0,51.0,50.89,7.2,2566.0
The Meddler,56.0,85.0,9.872,5.9,272.0
Makala,78.0,88.0,1.221,6.4,8.0
Wildhood,75.0,100.0,3.021,0.0,0.0
Icaros: A Vision,82.0,90.0,,,
Seed: The Untold Story,86.0,93.0,,,
Uncertain,82.0,100.0,2.613,6.7,6.0
Back to the Drive-In,80.0,92.0,,,
Downfall: The Case Against Boeing,89.0,91.0,14.235,0.0,0.0
Marcel the Shell with Shoes On,91.0,98.0,1.4,0.0,0.0
Marcel the Shell with Shoes On,91.0,98.0,3.485,0.0,0.0
Big Sonia,98.0,95.0,,,
Girl Picture,82.0,99.0,1.272,0.0,0.0
Ant-Man and The Wasp,80.0,87.0,,,
Sinphony: A Clubhouse Horror Anthology,78.0,83.0,,,
One Child Nation,85.0,98.0,10.383,7.3,106.0
Burning Cane,35.0,92.0,3.562,5.8,9.0
Spring Blossom,36.0,93.0,2.531,5.1,14.0
Best and Most Beautiful Things,73.0,81.0,2.648,5.8,5.0
We Are X,85.0,83.0,3.775,7.4,16.0
"Cyrano, My Love",100.0,81.0,7.384,7.6,380.0
Top Spin,75.0,100.0,,,
Demigod,85.0,63.0,3.05,3.4,5.0
Call Me Lucky,80.0,85.0,4.1,7.1,41.0
Nadigaiyar Thilagam (Tamil),95.0,100.0,,,
Who Invited Charlie?,99.0,71.0,,,
Pain and Glory,91.0,96.0,12.56,7.5,1362.0
Ammonite,85.0,69.0,14.988,7.1,282.0
Viva,86.0,80.0,4.043,7.8,48.0
Rocketman,88.0,89.0,17.891,7.4,3539.0
Brooklyn,87.0,97.0,12.473,7.3,2616.0
Get Me Roger Stone,82.0,88.0,7.382,7.1,100.0
"Kumiko, the Treasure Hunter",62.0,88.0,,,
The Untamed,55.0,86.0,6.796,6.0,114.0
Dio: Dreamers Never Die,99.0,100.0,,,
Dramarama,75.0,100.0,,,
Shepherd: The Story of a Jewish Dog,94.0,80.0,,,
Uunchai,92.0,27.0,,,
'96,89.0,100.0,,,
Xenia,55.0,86.0,,,
Come as You Are,80.0,95.0,,,
The Wolf of Snow Hollow,65.0,90.0,52.76,6.1,187.0
The Call of the Wild,89.0,63.0,69.214,7.6,2679.0
Coco,94.0,97.0,393.975,8.2,14784.0
Whitney Houston: I Wanna Dance with Somebody,92.0,44.0,,,
American Animals,81.0,88.0,15.237,6.8,680.0
Moonage Daydream,76.0,92.0,,,
Shelley,39.0,92.0,5.594,5.5,88.0
A Very Sordid Wedding,95.0,86.0,2.945,5.7,17.0
On-Gaku: Our Sound,80.0,100.0,2.18,5.8,10.0
El Planeta,40.0,95.0,2.575,6.0,1.0
My Mother,60.0,84.0,0.6,7.0,1.0
My Mother,60.0,84.0,1.563,7.2,16.0
Emelie,40.0,89.0,7.835,5.2,567.0
Never Rarely Sometimes Always,54.0,99.0,11.506,7.3,306.0
Piggy,57.0,92.0,0.743,7.3,11.0
Piggy,57.0,92.0,6.077,0.0,0.0
Deep in the Heart: A Texas Wildlife Story,100.0,100.0,,,
Shin Ultraman,86.0,96.0,,,
RK/RKAY,67.0,83.0,1.192,0.0,0.0
Candyman,72.0,84.0,143.817,6.3,579.0
Brainwashed: Sex-Camera-Power,88.0,75.0,,,
Making Waves: The Art of Cinematic Sound,93.0,97.0,5.576,6.8,39.0
Cliff Walkers,78.0,81.0,4.54,7.1,15.0
Daniel Isn't Real,58.0,84.0,12.616,6.1,111.0
EVANGELION:3.0+1.01 Thrice Upon a Time,92.0,100.0,,,
Potato Dreams of America,81.0,91.0,1.302,6.0,1.0
Blink of an Eye,88.0,67.0,2.047,6.8,4.0
Transit,65.0,95.0,9.043,6.5,142.0
Red Army,85.0,92.0,,,
Daisy Winters,94.0,60.0,3.275,6.4,9.0
The Assistant,25.0,93.0,1.483,5.6,10.0
The Assistant,25.0,93.0,12.809,6.5,267.0
"Three Billboards Outside Ebbing, Missouri",87.0,90.0,15.355,8.1,8119.0
M3GAN,78.0,93.0,,,
For Here or to Go?,83.0,41.0,2.636,7.0,2.0
Black Panther: Wakanda Forever,94.0,84.0,15.059,0.0,0.0
In the Last Days of the City,100.0,80.0,0.852,6.3,6.0
I'll See You in My Dreams,68.0,94.0,7.121,6.4,119.0
Nightride,71.0,86.0,1.4,0.0,0.0
The Big Sick,88.0,98.0,15.82,7.4,1920.0
Filmworker,84.0,95.0,4.03,7.0,52.0
Kate Plays Christine,52.0,83.0,3.481,5.3,21.0
About Endlessness,56.0,94.0,8.89,6.3,83.0
Me and Earl and the Dying Girl,86.0,81.0,11.13,7.6,2122.0
Moonlight Sonata: Deafness in Three Movements,88.0,86.0,,,
My Hero Academia: Heroes Rising,98.0,90.0,303.072,8.5,817.0
The Velvet Underground,81.0,98.0,8.939,6.9,26.0
Science Fair,85.0,97.0,3.481,7.3,16.0
Arabian Nights: Volume 2 -- The Desolate One,77.0,100.0,,,
Emanuel,98.0,100.0,3.68,6.2,5.0
Port Authority,69.0,84.0,3.352,6.8,26.0
Colossal,59.0,81.0,22.6,6.3,1613.0
Mobile Suit Gundam: Cucuruz Doan's Island,100.0,100.0,,,
Free Trip to Egypt,89.0,79.0,0.6,0.0,0.0
Barbarian,71.0,93.0,,,
Hockeyland,92.0,85.0,,,
Residue,58.0,94.0,2.588,6.2,23.0
Residue,58.0,94.0,3.521,5.2,13.0
Lovesong,56.0,83.0,6.446,5.6,144.0
I Was a Simple Man,60.0,88.0,9.424,0.0,0.0
Plane,94.0,77.0,,,
"Hallelujah: Leonard Cohen, a Journey, a Song",93.0,88.0,,,
Tangerine,76.0,96.0,9.725,7.0,461.0
My Little Sister,92.0,94.0,4.401,5.3,25.0
My Little Sister,92.0,94.0,0.991,7.1,8.0
MAFIA INC,69.0,94.0,,,
The Childhood of a Leader,54.0,90.0,5.461,6.3,120.0
Hard Labor,61.0,86.0,,,
Knives Out,92.0,97.0,48.139,7.9,8008.0
Art Bastard,69.0,86.0,,,
Claire's Camera,58.0,89.0,3.626,6.1,41.0
Pop Aye,63.0,92.0,1.472,6.6,13.0
Turbo Kid,77.0,91.0,8.539,6.6,541.0
The Whistlers,53.0,83.0,10.364,6.1,92.0
Running Shaadi,98.0,17.0,0.781,6.0,5.0
Most Beautiful Island,47.0,94.0,10.931,5.3,86.0
The LEGO Batman Movie,80.0,90.0,,,
The Dig,78.0,88.0,3.277,7.7,25.0
The Dig,78.0,88.0,1.681,6.8,8.0
The Dig,78.0,88.0,22.129,6.9,752.0
"Accidental Courtesy: Daryl Davis, Race & America",87.0,86.0,,,
The Legend of 420,89.0,83.0,,,
Chicken People,64.0,100.0,2.868,6.6,11.0
To Leslie,86.0,93.0,,,
Try Harder!,86.0,97.0,5.772,0.0,0.0
Teen Titans GO! to the Movies,71.0,91.0,,,
Fastball,79.0,90.0,3.826,7.1,36.0
The Raft,85.0,90.0,0.614,0.0,0.0
The Raft,85.0,90.0,2.117,6.6,8.0
In Fabric,52.0,91.0,14.184,5.7,170.0
Killing Them Safely,53.0,91.0,,,
Mission Mangal,95.0,60.0,3.634,7.2,37.0
The Trip to Greece,50.0,88.0,2.883,7.0,6.0
Testament of Youth,78.0,84.0,,,
Transpecos,56.0,91.0,4.733,5.9,51.0
Unsilenced,100.0,90.0,,,
Supernova,69.0,90.0,21.508,7.1,135.0
Supernova,69.0,90.0,1.96,7.2,13.0
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,56.0,87.0,9.367,5.4,141.0
An L.A. Minute,100.0,22.0,,,
Full River Red,66.0,100.0,,,
Mountain,63.0,87.0,0.897,7.3,6.0
Mountain,63.0,87.0,0.841,6.6,14.0
Mountain,63.0,87.0,1.733,6.1,7.0
Mountain,63.0,87.0,8.227,7.2,60.0
Uncle Peckerhead,69.0,100.0,5.64,6.1,48.0
Ellie and Abbie (and Ellie's Dead Aunt),63.0,100.0,3.16,7.0,37.0
Whirlybird,80.0,83.0,1.711,0.0,0.0
East of the Mountains,56.0,100.0,6.544,4.6,4.0
"Love, Cecil",76.0,83.0,3.288,6.4,10.0
Kingdom,96.0,94.0,5.429,7.0,44.0
Kingdom,96.0,94.0,0.635,9.0,1.0
"A Woman, a Part",55.0,87.0,2.334,6.3,12.0
Men & Chicken,73.0,84.0,5.432,6.6,134.0
Larger Than Life: The Kevyn Aucoin Story,93.0,90.0,,,
Louis Armstrong's Black & Blues,80.0,98.0,,,
Ask for Jane,88.0,50.0,2.386,9.0,1.0
Premature,71.0,93.0,1.912,6.8,11.0
Big Time Adolescence,82.0,85.0,10.594,7.5,201.0
Leave No Trace,80.0,100.0,16.542,6.8,855.0
Crocodile Gennadiy,82.0,98.0,,,
Chimera Strain,92.0,60.0,,,
The Times of Bill Cunningham,88.0,81.0,,,
Dancing Arabs,76.0,93.0,,,
Ad Astra,40.0,83.0,11.528,6.1,5093.0
Upgrade,87.0,88.0,20.026,7.5,3070.0
Thoroughbreds,67.0,87.0,20.344,6.4,822.0
The Sunshine Makers,74.0,100.0,2.187,6.7,19.0
At War,88.0,70.0,7.624,7.1,112.0
Val,99.0,80.0,8.156,7.2,44.0
Val,99.0,80.0,4.57,6.0,5.0
All That Breathes,84.0,99.0,,,
The Kid Detective,76.0,85.0,13.575,6.6,172.0
Their Finest,71.0,90.0,11.547,6.7,312.0
Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleaders,89.0,83.0,2.318,7.3,6.0
The Donut King,93.0,97.0,3.616,7.2,5.0
Sword Art Online the Movie -Progressive- Aria of a Starless Night,95.0,80.0,73.353,9.3,4.0
Saint Omer,46.0,94.0,,,
Alleluia! The Devil's Carnival,83.0,100.0,4.464,6.3,18.0
Lamb,55.0,82.0,17.975,6.5,35.0
Lamb,55.0,82.0,1.821,7.0,19.0
Lamb,55.0,82.0,51.753,6.7,119.0
The Man Standing Next,100.0,84.0,6.743,6.8,61.0
American Made,79.0,85.0,27.411,6.8,3435.0
It,84.0,86.0,60.377,7.2,15802.0
Ip Man 4: The Finale,95.0,85.0,14.012,7.3,1463.0
Door Mouse,89.0,78.0,,,
The Box,89.0,89.0,0.6,0.0,0.0
The Box,89.0,89.0,0.663,6.3,9.0
The Box,89.0,89.0,1.621,7.0,3.0
The Box,89.0,89.0,0.707,5.8,3.0
